Designator,Mid X,Mid Y,Rotation,Layer
C1,107.95,-121.840625,270.0,bottom
C2,105.56875,-121.840625,90.0,bottom
C3,100.0125,-110.33125,0.0,bottom
C4,109.934375,-109.140625,90.0,bottom
C5,111.125,-119.0625,180.0,bottom
C6,111.521875,-121.44375,180.0,bottom
C7,102.790625,-101.203125,180.0,bottom
C8,102.790625,-107.553125,180.0,bottom
C9,101.6,-130.96875,270.0,bottom
D1,98.425,-86.915625,270.0,bottom
D10,146.05,-101.6,270.0,bottom
D11,184.15,-101.6,270.0,bottom
D12,222.25,-101.6,270.0,bottom
D13,260.35,-101.6,270.0,bottom
D14,298.45,-101.6,270.0,bottom
D15,336.55,-101.6,270.0,bottom
D16,118.665625,-120.65,270.0,bottom
D17,150.8125,-120.65,270.0,bottom
D18,188.9125,-120.65,270.0,bottom
D19,227.0125,-120.65,270.0,bottom
D2,136.525,-82.55,270.0,bottom
D20,265.1125,-120.65,270.0,bottom
D21,303.2125,-120.65,270.0,bottom
D22,365.125,-120.65,270.0,bottom
D23,122.2375,-139.7,270.0,bottom
D24,160.3375,-139.7,270.0,bottom
D25,198.4375,-139.7,270.0,bottom
D26,236.5375,-139.7,270.0,bottom
D27,274.6375,-139.7,270.0,bottom
D28,312.7375,-139.7,270.0,bottom
D29,365.125,-139.7,270.0,bottom
D3,174.625,-82.55,270.0,bottom
D30,103.1875,-158.75,270.0,bottom
D31,200.81875,-158.75,270.0,bottom
D32,291.30625,-158.75,270.0,bottom
D33,346.075,-153.9875,270.0,bottom
D34,365.125,-149.621875,270.0,bottom
D4,212.725,-84.93125,270.0,bottom
D5,250.825,-82.55,270.0,bottom
D6,288.925,-82.55,270.0,bottom
D7,327.025,-85.725,90.0,bottom
D8,365.125,-86.915625,90.0,bottom
D9,117.475,-92.86875,270.0,bottom
J1,127.0,-98.425,270.0,bottom
R1,116.68125,-130.96875,270.0,bottom
R2,119.0625,-130.96875,90.0,bottom
SW1,112.315625,-130.96875,270.0,bottom
SW2,105.965625,-130.96875,90.0,bottom
U1,105.56875,-114.696875,0.0,bottom
U2,121.44375,-98.425,270.0,bottom
U3,102.790625,-104.386875,180.0,bottom
